Date,Hospital,Blood Type,Demand
02-01-2024,CMC Vellore,B-,133
03-01-2024,CMC Vellore,B-,142
04-01-2024,CMC Vellore,B-,138
05-01-2024,CMC Vellore,B-,133
06-01-2024,CMC Vellore,B-,131
07-01-2024,CMC Vellore,B-,133
08-01-2024,CMC Vellore,B-,135
09-01-2024,CMC Vellore,B-,145
10-01-2024,CMC Vellore,B-,144
11-01-2024,CMC Vellore,B-,133
12-01-2024,CMC Vellore,B-,131
13-01-2024,CMC Vellore,B-,135
14-01-2024,CMC Vellore,B-,144
15-01-2024,CMC Vellore,B-,137
16-01-2024,CMC Vellore,B-,139
17-01-2024,CMC Vellore,B-,145
18-01-2024,CMC Vellore,B-,145
19-01-2024,CMC Vellore,B-,140
20-01-2024,CMC Vellore,B-,143
21-01-2024,CMC Vellore,B-,149
22-01-2024,CMC Vellore,B-,137
23-01-2024,CMC Vellore,B-,147
24-01-2024,CMC Vellore,B-,150
25-01-2024,CMC Vellore,B-,134
26-01-2024,CMC Vellore,B-,135
27-01-2024,CMC Vellore,B-,137
28-01-2024,CMC Vellore,B-,143
29-01-2024,CMC Vellore,B-,145
30-01-2024,CMC Vellore,B-,141
01-01-2024,CMC Vellore,O+,147
02-01-2024,CMC Vellore,O+,159
03-01-2024,CMC Vellore,O+,142
04-01-2024,CMC Vellore,O+,150
05-01-2024,CMC Vellore,O+,153
06-01-2024,CMC Vellore,O+,146
07-01-2024,CMC Vellore,O+,152
08-01-2024,CMC Vellore,O+,152
09-01-2024,CMC Vellore,O+,160
10-01-2024,CMC Vellore,O+,151
11-01-2024,CMC Vellore,O+,147
12-01-2024,CMC Vellore,O+,141
13-01-2024,CMC Vellore,O+,141
14-01-2024,CMC Vellore,O+,160
15-01-2024,CMC Vellore,O+,153
16-01-2024,CMC Vellore,O+,149
17-01-2024,CMC Vellore,O+,143
18-01-2024,CMC Vellore,O+,147
19-01-2024,CMC Vellore,O+,146
20-01-2024,CMC Vellore,O+,148
21-01-2024,CMC Vellore,O+,149
22-01-2024,CMC Vellore,O+,145
23-01-2024,CMC Vellore,O+,141
24-01-2024,CMC Vellore,O+,159
25-01-2024,CMC Vellore,O+,150
26-01-2024,CMC Vellore,O+,152
27-01-2024,CMC Vellore,O+,155
28-01-2024,CMC Vellore,O+,149
29-01-2024,CMC Vellore,O+,160
30-01-2024,CMC Vellore,O+,157
01-01-2024,CMC Vellore,O-,158
02-01-2024,CMC Vellore,O-,153
03-01-2024,CMC Vellore,O-,148
04-01-2024,CMC Vellore,O-,149
05-01-2024,CMC Vellore,O-,163
06-01-2024,CMC Vellore,O-,151
07-01-2024,CMC Vellore,O-,163
08-01-2024,CMC Vellore,O-,163
09-01-2024,CMC Vellore,O-,163
10-01-2024,CMC Vellore,O-,148
11-01-2024,CMC Vellore,O-,148
12-01-2024,CMC Vellore,O-,151
13-01-2024,CMC Vellore,O-,147
14-01-2024,CMC Vellore,O-,147
15-01-2024,CMC Vellore,O-,165
16-01-2024,CMC Vellore,O-,148
17-01-2024,CMC Vellore,O-,158
18-01-2024,CMC Vellore,O-,152
19-01-2024,CMC Vellore,O-,150
20-01-2024,CMC Vellore,O-,157
21-01-2024,CMC Vellore,O-,163
22-01-2024,CMC Vellore,O-,152
23-01-2024,CMC Vellore,O-,151
24-01-2024,CMC Vellore,O-,166
25-01-2024,CMC Vellore,O-,148
26-01-2024,CMC Vellore,O-,152
27-01-2024,CMC Vellore,O-,157
28-01-2024,CMC Vellore,O-,162
29-01-2024,CMC Vellore,O-,162
30-01-2024,CMC Vellore,O-,147
01-01-2024,CMC Vellore,AB+,145
02-01-2024,CMC Vellore,AB+,155
03-01-2024,CMC Vellore,AB+,142
04-01-2024,CMC Vellore,AB+,159
05-01-2024,CMC Vellore,AB+,143
06-01-2024,CMC Vellore,AB+,158
07-01-2024,CMC Vellore,AB+,142
08-01-2024,CMC Vellore,AB+,158
09-01-2024,CMC Vellore,AB+,159
10-01-2024,CMC Vellore,AB+,146
11-01-2024,CMC Vellore,AB+,159
12-01-2024,CMC Vellore,AB+,148
13-01-2024,CMC Vellore,AB+,140
14-01-2024,CMC Vellore,AB+,147
15-01-2024,CMC Vellore,AB+,146
16-01-2024,CMC Vellore,AB+,157
17-01-2024,CMC Vellore,AB+,147
18-01-2024,CMC Vellore,AB+,140
19-01-2024,CMC Vellore,AB+,150
20-01-2024,CMC Vellore,AB+,157
21-01-2024,CMC Vellore,AB+,149
22-01-2024,CMC Vellore,AB+,142
23-01-2024,CMC Vellore,AB+,146
24-01-2024,CMC Vellore,AB+,155
25-01-2024,CMC Vellore,AB+,155
26-01-2024,CMC Vellore,AB+,159
27-01-2024,CMC Vellore,AB+,156
28-01-2024,CMC Vellore,AB+,141
29-01-2024,CMC Vellore,AB+,140
30-01-2024,CMC Vellore,AB+,155
01-01-2024,CMC Vellore,AB-,153
02-01-2024,CMC Vellore,AB-,153
03-01-2024,CMC Vellore,AB-,147
04-01-2024,CMC Vellore,AB-,163
05-01-2024,CMC Vellore,AB-,160
06-01-2024,CMC Vellore,AB-,160
07-01-2024,CMC Vellore,AB-,147
08-01-2024,CMC Vellore,AB-,164
09-01-2024,CMC Vellore,AB-,145
10-01-2024,CMC Vellore,AB-,164
11-01-2024,CMC Vellore,AB-,155
12-01-2024,CMC Vellore,AB-,161
13-01-2024,CMC Vellore,AB-,152
14-01-2024,CMC Vellore,AB-,148
15-01-2024,CMC Vellore,AB-,150
16-01-2024,CMC Vellore,AB-,152
17-01-2024,CMC Vellore,AB-,164
18-01-2024,CMC Vellore,AB-,147
19-01-2024,CMC Vellore,AB-,160
20-01-2024,CMC Vellore,AB-,147
21-01-2024,CMC Vellore,AB-,162
22-01-2024,CMC Vellore,AB-,158
23-01-2024,CMC Vellore,AB-,162
24-01-2024,CMC Vellore,AB-,146
25-01-2024,CMC Vellore,AB-,147
26-01-2024,CMC Vellore,AB-,160
27-01-2024,CMC Vellore,AB-,153
28-01-2024,CMC Vellore,AB-,148
29-01-2024,CMC Vellore,AB-,145
30-01-2024,CMC Vellore,AB-,148
01-01-2024,Vellore Government Medical College,A+,94
02-01-2024,Vellore Government Medical College,A+,82
03-01-2024,Vellore Government Medical College,A+,81
04-01-2024,Vellore Government Medical College,A+,77
05-01-2024,Vellore Government Medical College,A+,91
06-01-2024,Vellore Government Medical College,A+,75
07-01-2024,Vellore Government Medical College,A+,90
08-01-2024,Vellore Government Medical College,A+,86
09-01-2024,Vellore Government Medical College,A+,93
10-01-2024,Vellore Government Medical College,A+,88
11-01-2024,Vellore Government Medical College,A+,80
12-01-2024,Vellore Government Medical College,A+,80
13-01-2024,Vellore Government Medical College,A+,87
14-01-2024,Vellore Government Medical College,A+,93
15-01-2024,Vellore Government Medical College,A+,82
16-01-2024,Vellore Government Medical College,A+,76
17-01-2024,Vellore Government Medical College,A+,75
18-01-2024,Vellore Government Medical College,A+,89
19-01-2024,Vellore Government Medical College,A+,75
20-01-2024,Vellore Government Medical College,A+,79
21-01-2024,Vellore Government Medical College,A+,90
22-01-2024,Vellore Government Medical College,A+,93
23-01-2024,Vellore Government Medical College,A+,78
24-01-2024,Vellore Government Medical College,A+,77
25-01-2024,Vellore Government Medical College,A+,91
26-01-2024,Vellore Government Medical College,A+,91
27-01-2024,Vellore Government Medical College,A+,86
28-01-2024,Vellore Government Medical College,A+,88
29-01-2024,Vellore Government Medical College,A+,80
30-01-2024,Vellore Government Medical College,A+,77
01-01-2024,Vellore Government Medical College,A-,89
02-01-2024,Vellore Government Medical College,A-,86
03-01-2024,Vellore Government Medical College,A-,75
04-01-2024,Vellore Government Medical College,A-,73
05-01-2024,Vellore Government Medical College,A-,92
06-01-2024,Vellore Government Medical College,A-,73
07-01-2024,Vellore Government Medical College,A-,75
08-01-2024,Vellore Government Medical College,A-,90
09-01-2024,Vellore Government Medical College,A-,82
10-01-2024,Vellore Government Medical College,A-,75
11-01-2024,Vellore Government Medical College,A-,80
12-01-2024,Vellore Government Medical College,A-,86
13-01-2024,Vellore Government Medical College,A-,90
14-01-2024,Vellore Government Medical College,A-,87
15-01-2024,Vellore Government Medical College,A-,74
16-01-2024,Vellore Government Medical College,A-,82
17-01-2024,Vellore Government Medical College,A-,74
18-01-2024,Vellore Government Medical College,A-,89
19-01-2024,Vellore Government Medical College,A-,80
20-01-2024,Vellore Government Medical College,A-,73
21-01-2024,Vellore Government Medical College,A-,81
22-01-2024,Vellore Government Medical College,A-,83
23-01-2024,Vellore Government Medical College,A-,88
24-01-2024,Vellore Government Medical College,A-,79
25-01-2024,Vellore Government Medical College,A-,82
26-01-2024,Vellore Government Medical College,A-,75
27-01-2024,Vellore Government Medical College,A-,90
28-01-2024,Vellore Government Medical College,A-,85
29-01-2024,Vellore Government Medical College,A-,79
30-01-2024,Vellore Government Medical College,A-,76
01-01-2024,Vellore Government Medical College,B+,80
02-01-2024,Vellore Government Medical College,B+,86
03-01-2024,Vellore Government Medical College,B+,88
04-01-2024,Vellore Government Medical College,B+,86
05-01-2024,Vellore Government Medical College,B+,84
06-01-2024,Vellore Government Medical College,B+,91
07-01-2024,Vellore Government Medical College,B+,87
08-01-2024,Vellore Government Medical College,B+,74
09-01-2024,Vellore Government Medical College,B+,74
10-01-2024,Vellore Government Medical College,B+,91
11-01-2024,Vellore Government Medical College,B+,89
12-01-2024,Vellore Government Medical College,B+,92
13-01-2024,Vellore Government Medical College,B+,82
14-01-2024,Vellore Government Medical College,B+,78
15-01-2024,Vellore Government Medical College,B+,87
16-01-2024,Vellore Government Medical College,B+,83
17-01-2024,Vellore Government Medical College,B+,77
18-01-2024,Vellore Government Medical College,B+,73
19-01-2024,Vellore Government Medical College,B+,80
20-01-2024,Vellore Government Medical College,B+,84
21-01-2024,Vellore Government Medical College,B+,84
22-01-2024,Vellore Government Medical College,B+,77
23-01-2024,Vellore Government Medical College,B+,79
24-01-2024,Vellore Government Medical College,B+,76
25-01-2024,Vellore Government Medical College,B+,78
26-01-2024,Vellore Government Medical College,B+,85
27-01-2024,Vellore Government Medical College,B+,92
28-01-2024,Vellore Government Medical College,B+,87
29-01-2024,Vellore Government Medical College,B+,75
30-01-2024,Vellore Government Medical College,B+,80
01-01-2024,Vellore Government Medical College,B-,97
02-01-2024,Vellore Government Medical College,B-,89
03-01-2024,Vellore Government Medical College,B-,98
04-01-2024,Vellore Government Medical College,B-,96
05-01-2024,Vellore Government Medical College,B-,98
06-01-2024,Vellore Government Medical College,B-,84
07-01-2024,Vellore Government Medical College,B-,88
08-01-2024,Vellore Government Medical College,B-,91
09-01-2024,Vellore Government Medical College,B-,80
10-01-2024,Vellore Government Medical College,B-,80
11-01-2024,Vellore Government Medical College,B-,94
12-01-2024,Vellore Government Medical College,B-,81
13-01-2024,Vellore Government Medical College,B-,95
14-01-2024,Vellore Government Medical College,B-,87
15-01-2024,Vellore Government Medical College,B-,92
16-01-2024,Vellore Government Medical College,B-,80
17-01-2024,Vellore Government Medical College,B-,95
18-01-2024,Vellore Government Medical College,B-,86
19-01-2024,Vellore Government Medical College,B-,84
20-01-2024,Vellore Government Medical College,B-,82
21-01-2024,Vellore Government Medical College,B-,91
22-01-2024,Vellore Government Medical College,B-,95
23-01-2024,Vellore Government Medical College,B-,98
24-01-2024,Vellore Government Medical College,B-,84
25-01-2024,Vellore Government Medical College,B-,93
26-01-2024,Vellore Government Medical College,B-,84
27-01-2024,Vellore Government Medical College,B-,94
28-01-2024,Vellore Government Medical College,B-,96
29-01-2024,Vellore Government Medical College,B-,93
30-01-2024,Vellore Government Medical College,B-,99
01-01-2024,Vellore Government Medical College,O+,82
02-01-2024,Vellore Government Medical College,O+,73
03-01-2024,Vellore Government Medical College,O+,70
04-01-2024,Vellore Government Medical College,O+,67
05-01-2024,Vellore Government Medical College,O+,71
06-01-2024,Vellore Government Medical College,O+,76
07-01-2024,Vellore Government Medical College,O+,71
08-01-2024,Vellore Government Medical College,O+,70
09-01-2024,Vellore Government Medical College,O+,68
10-01-2024,Vellore Government Medical College,O+,86
11-01-2024,Vellore Government Medical College,O+,76
12-01-2024,Vellore Government Medical College,O+,85
13-01-2024,Vellore Government Medical College,O+,67
14-01-2024,Vellore Government Medical College,O+,71
15-01-2024,Vellore Government Medical College,O+,79
16-01-2024,Vellore Government Medical College,O+,70
17-01-2024,Vellore Government Medical College,O+,82
18-01-2024,Vellore Government Medical College,O+,82
19-01-2024,Vellore Government Medical College,O+,68
20-01-2024,Vellore Government Medical College,O+,83
21-01-2024,Vellore Government Medical College,O+,86
22-01-2024,Vellore Government Medical College,O+,78
23-01-2024,Vellore Government Medical College,O+,84
24-01-2024,Vellore Government Medical College,O+,69
25-01-2024,Vellore Government Medical College,O+,67
26-01-2024,Vellore Government Medical College,O+,67
27-01-2024,Vellore Government Medical College,O+,85
28-01-2024,Vellore Government Medical College,O+,77
29-01-2024,Vellore Government Medical College,O+,71
30-01-2024,Vellore Government Medical College,O+,78
01-01-2024,Vellore Government Medical College,O-,73
02-01-2024,Vellore Government Medical College,O-,75
03-01-2024,Vellore Government Medical College,O-,76
04-01-2024,Vellore Government Medical College,O-,77
05-01-2024,Vellore Government Medical College,O-,78
06-01-2024,Vellore Government Medical College,O-,77
07-01-2024,Vellore Government Medical College,O-,79
08-01-2024,Vellore Government Medical College,O-,67
09-01-2024,Vellore Government Medical College,O-,84
10-01-2024,Vellore Government Medical College,O-,83
11-01-2024,Vellore Government Medical College,O-,68
12-01-2024,Vellore Government Medical College,O-,82
13-01-2024,Vellore Government Medical College,O-,73
14-01-2024,Vellore Government Medical College,O-,75
15-01-2024,Vellore Government Medical College,O-,67
16-01-2024,Vellore Government Medical College,O-,84
17-01-2024,Vellore Government Medical College,O-,74
18-01-2024,Vellore Government Medical College,O-,72
19-01-2024,Vellore Government Medical College,O-,69
20-01-2024,Vellore Government Medical College,O-,83
21-01-2024,Vellore Government Medical College,O-,78
22-01-2024,Vellore Government Medical College,O-,76
23-01-2024,Vellore Government Medical College,O-,69
24-01-2024,Vellore Government Medical College,O-,69
25-01-2024,Vellore Government Medical College,O-,75
26-01-2024,Vellore Government Medical College,O-,70
27-01-2024,Vellore Government Medical College,O-,74
28-01-2024,Vellore Government Medical College,O-,68
29-01-2024,Vellore Government Medical College,O-,82
30-01-2024,Vellore Government Medical College,O-,68
01-01-2024,Vellore Government Medical College,AB+,92
02-01-2024,Vellore Government Medical College,AB+,82
03-01-2024,Vellore Government Medical College,AB+,80
04-01-2024,Vellore Government Medical College,AB+,87
05-01-2024,Vellore Government Medical College,AB+,92
06-01-2024,Vellore Government Medical College,AB+,88
07-01-2024,Vellore Government Medical College,AB+,78
08-01-2024,Vellore Government Medical College,AB+,84
09-01-2024,Vellore Government Medical College,AB+,92
10-01-2024,Vellore Government Medical College,AB+,92
11-01-2024,Vellore Government Medical College,AB+,95
12-01-2024,Vellore Government Medical College,AB+,91
13-01-2024,Vellore Government Medical College,AB+,88
14-01-2024,Vellore Government Medical College,AB+,94
15-01-2024,Vellore Government Medical College,AB+,92
16-01-2024,Vellore Government Medical College,AB+,79
17-01-2024,Vellore Government Medical College,AB+,87
18-01-2024,Vellore Government Medical College,AB+,84
19-01-2024,Vellore Government Medical College,AB+,94
20-01-2024,Vellore Government Medical College,AB+,87
21-01-2024,Vellore Government Medical College,AB+,84
22-01-2024,Vellore Government Medical College,AB+,82
23-01-2024,Vellore Government Medical College,AB+,89
24-01-2024,Vellore Government Medical College,AB+,95
25-01-2024,Vellore Government Medical College,AB+,94
26-01-2024,Vellore Government Medical College,AB+,90
27-01-2024,Vellore Government Medical College,AB+,91
28-01-2024,Vellore Government Medical College,AB+,80
29-01-2024,Vellore Government Medical College,AB+,78
30-01-2024,Vellore Government Medical College,AB+,87
01-01-2024,Vellore Government Medical College,AB-,86
02-01-2024,Vellore Government Medical College,AB-,98
03-01-2024,Vellore Government Medical College,AB-,89
04-01-2024,Vellore Government Medical College,AB-,95
05-01-2024,Vellore Government Medical College,AB-,92
06-01-2024,Vellore Government Medical College,AB-,89
07-01-2024,Vellore Government Medical College,AB-,96
08-01-2024,Vellore Government Medical College,AB-,87
09-01-2024,Vellore Government Medical College,AB-,85
10-01-2024,Vellore Government Medical College,AB-,93
11-01-2024,Vellore Government Medical College,AB-,93
12-01-2024,Vellore Government Medical College,AB-,100
13-01-2024,Vellore Government Medical College,AB-,97
14-01-2024,Vellore Government Medical College,AB-,94
15-01-2024,Vellore Government Medical College,AB-,91
16-01-2024,Vellore Government Medical College,AB-,92
17-01-2024,Vellore Government Medical College,AB-,94
18-01-2024,Vellore Government Medical College,AB-,99
19-01-2024,Vellore Government Medical College,AB-,88
20-01-2024,Vellore Government Medical College,AB-,89
21-01-2024,Vellore Government Medical College,AB-,96
22-01-2024,Vellore Government Medical College,AB-,95
23-01-2024,Vellore Government Medical College,AB-,90
24-01-2024,Vellore Government Medical College,AB-,92
25-01-2024,Vellore Government Medical College,AB-,91
26-01-2024,Vellore Government Medical College,AB-,100
27-01-2024,Vellore Government Medical College,AB-,84
28-01-2024,Vellore Government Medical College,AB-,87
29-01-2024,Vellore Government Medical College,AB-,87
30-01-2024,Vellore Government Medical College,AB-,88
01-01-2024,Apollo KH Hospital,A+,119
02-01-2024,Apollo KH Hospital,A+,138
03-01-2024,Apollo KH Hospital,A+,135
04-01-2024,Apollo KH Hospital,A+,125
05-01-2024,Apollo KH Hospital,A+,131
06-01-2024,Apollo KH Hospital,A+,122
07-01-2024,Apollo KH Hospital,A+,122
08-01-2024,Apollo KH Hospital,A+,124
09-01-2024,Apollo KH Hospital,A+,137
10-01-2024,Apollo KH Hospital,A+,130
11-01-2024,Apollo KH Hospital,A+,125
12-01-2024,Apollo KH Hospital,A+,128
13-01-2024,Apollo KH Hospital,A+,137
14-01-2024,Apollo KH Hospital,A+,125
15-01-2024,Apollo KH Hospital,A+,121
16-01-2024,Apollo KH Hospital,A+,131
17-01-2024,Apollo KH Hospital,A+,131
18-01-2024,Apollo KH Hospital,A+,136
19-01-2024,Apollo KH Hospital,A+,138
20-01-2024,Apollo KH Hospital,A+,126
21-01-2024,Apollo KH Hospital,A+,127
22-01-2024,Apollo KH Hospital,A+,125
23-01-2024,Apollo KH Hospital,A+,119
24-01-2024,Apollo KH Hospital,A+,121
25-01-2024,Apollo KH Hospital,A+,131
26-01-2024,Apollo KH Hospital,A+,135
27-01-2024,Apollo KH Hospital,A+,119
28-01-2024,Apollo KH Hospital,A+,124
29-01-2024,Apollo KH Hospital,A+,124
30-01-2024,Apollo KH Hospital,A+,130
01-01-2024,Apollo KH Hospital,A-,144
02-01-2024,Apollo KH Hospital,A-,145
03-01-2024,Apollo KH Hospital,A-,140
04-01-2024,Apollo KH Hospital,A-,134
05-01-2024,Apollo KH Hospital,A-,133
06-01-2024,Apollo KH Hospital,A-,132
07-01-2024,Apollo KH Hospital,A-,148
08-01-2024,Apollo KH Hospital,A-,149
09-01-2024,Apollo KH Hospital,A-,147
10-01-2024,Apollo KH Hospital,A-,144
11-01-2024,Apollo KH Hospital,A-,138
12-01-2024,Apollo KH Hospital,A-,146
13-01-2024,Apollo KH Hospital,A-,143
14-01-2024,Apollo KH Hospital,A-,144
15-01-2024,Apollo KH Hospital,A-,130
16-01-2024,Apollo KH Hospital,A-,132
17-01-2024,Apollo KH Hospital,A-,145
18-01-2024,Apollo KH Hospital,A-,140
19-01-2024,Apollo KH Hospital,A-,141
20-01-2024,Apollo KH Hospital,A-,139
21-01-2024,Apollo KH Hospital,A-,145
22-01-2024,Apollo KH Hospital,A-,137
23-01-2024,Apollo KH Hospital,A-,135
24-01-2024,Apollo KH Hospital,A-,141
25-01-2024,Apollo KH Hospital,A-,137
26-01-2024,Apollo KH Hospital,A-,133
27-01-2024,Apollo KH Hospital,A-,137
28-01-2024,Apollo KH Hospital,A-,147
29-01-2024,Apollo KH Hospital,A-,134
30-01-2024,Apollo KH Hospital,A-,138
01-01-2024,Apollo KH Hospital,B+,137
02-01-2024,Apollo KH Hospital,B+,129
03-01-2024,Apollo KH Hospital,B+,121
04-01-2024,Apollo KH Hospital,B+,140
05-01-2024,Apollo KH Hospital,B+,133
06-01-2024,Apollo KH Hospital,B+,136
07-01-2024,Apollo KH Hospital,B+,133
08-01-2024,Apollo KH Hospital,B+,134
09-01-2024,Apollo KH Hospital,B+,123
10-01-2024,Apollo KH Hospital,B+,126
11-01-2024,Apollo KH Hospital,B+,138
12-01-2024,Apollo KH Hospital,B+,139
13-01-2024,Apollo KH Hospital,B+,125
14-01-2024,Apollo KH Hospital,B+,135
15-01-2024,Apollo KH Hospital,B+,122
16-01-2024,Apollo KH Hospital,B+,130
17-01-2024,Apollo KH Hospital,B+,138
18-01-2024,Apollo KH Hospital,B+,133
19-01-2024,Apollo KH Hospital,B+,125
20-01-2024,Apollo KH Hospital,B+,121
21-01-2024,Apollo KH Hospital,B+,121
22-01-2024,Apollo KH Hospital,B+,138
23-01-2024,Apollo KH Hospital,B+,135
24-01-2024,Apollo KH Hospital,B+,137
25-01-2024,Apollo KH Hospital,B+,131
26-01-2024,Apollo KH Hospital,B+,137
27-01-2024,Apollo KH Hospital,B+,133
28-01-2024,Apollo KH Hospital,B+,121
29-01-2024,Apollo KH Hospital,B+,122
30-01-2024,Apollo KH Hospital,B+,129
01-01-2024,Apollo KH Hospital,B-,127
02-01-2024,Apollo KH Hospital,B-,117
03-01-2024,Apollo KH Hospital,B-,128
04-01-2024,Apollo KH Hospital,B-,116
05-01-2024,Apollo KH Hospital,B-,116
06-01-2024,Apollo KH Hospital,B-,117
07-01-2024,Apollo KH Hospital,B-,114
08-01-2024,Apollo KH Hospital,B-,116
09-01-2024,Apollo KH Hospital,B-,116
10-01-2024,Apollo KH Hospital,B-,121
11-01-2024,Apollo KH Hospital,B-,121
12-01-2024,Apollo KH Hospital,B-,130
13-01-2024,Apollo KH Hospital,B-,128
14-01-2024,Apollo KH Hospital,B-,125
15-01-2024,Apollo KH Hospital,B-,120
16-01-2024,Apollo KH Hospital,B-,125
17-01-2024,Apollo KH Hospital,B-,112
18-01-2024,Apollo KH Hospital,B-,130
19-01-2024,Apollo KH Hospital,B-,124
20-01-2024,Apollo KH Hospital,B-,124
21-01-2024,Apollo KH Hospital,B-,115
22-01-2024,Apollo KH Hospital,B-,112
23-01-2024,Apollo KH Hospital,B-,128
24-01-2024,Apollo KH Hospital,B-,119
25-01-2024,Apollo KH Hospital,B-,113
26-01-2024,Apollo KH Hospital,B-,119
27-01-2024,Apollo KH Hospital,B-,118
28-01-2024,Apollo KH Hospital,B-,113
29-01-2024,Apollo KH Hospital,B-,114
30-01-2024,Apollo KH Hospital,B-,129
01-01-2024,Apollo KH Hospital,O+,138
02-01-2024,Apollo KH Hospital,O+,131
03-01-2024,Apollo KH Hospital,O+,143
04-01-2024,Apollo KH Hospital,O+,142
05-01-2024,Apollo KH Hospital,O+,141
06-01-2024,Apollo KH Hospital,O+,141
07-01-2024,Apollo KH Hospital,O+,131
08-01-2024,Apollo KH Hospital,O+,140
09-01-2024,Apollo KH Hospital,O+,128
10-01-2024,Apollo KH Hospital,O+,137
11-01-2024,Apollo KH Hospital,O+,145
12-01-2024,Apollo KH Hospital,O+,133
13-01-2024,Apollo KH Hospital,O+,132
14-01-2024,Apollo KH Hospital,O+,128
15-01-2024,Apollo KH Hospital,O+,132
16-01-2024,Apollo KH Hospital,O+,144
17-01-2024,Apollo KH Hospital,O+,128
18-01-2024,Apollo KH Hospital,O+,144
19-01-2024,Apollo KH Hospital,O+,141
20-01-2024,Apollo KH Hospital,O+,145
21-01-2024,Apollo KH Hospital,O+,128
22-01-2024,Apollo KH Hospital,O+,146
23-01-2024,Apollo KH Hospital,O+,132
24-01-2024,Apollo KH Hospital,O+,127
25-01-2024,Apollo KH Hospital,O+,141
26-01-2024,Apollo KH Hospital,O+,136
27-01-2024,Apollo KH Hospital,O+,145
28-01-2024,Apollo KH Hospital,O+,143
29-01-2024,Apollo KH Hospital,O+,131
30-01-2024,Apollo KH Hospital,O+,130
01-01-2024,Apollo KH Hospital,O-,135
02-01-2024,Apollo KH Hospital,O-,142
03-01-2024,Apollo KH Hospital,O-,145
